States/UTs,Category,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown
Andhra Pradesh,Area,27507,27505,6210,4781,602,320,695,1583,3166,10147
Arunachal Pradesh,Area,8374,5659,5154,65,18,37,67,73,37,209
Assam,Area,7844,7850,1954,2512,160,209,77,60,127,2753
Bihar,Area,9416,9360,622,2083,17,240,46,129,666,5556
Chhatisgarh,Area,13519,13790,6355,996,857,1,350,238,271,4772
NCT of Delhi,Area,148,147,1,92,0,1,10,8,12,23
Goa,Area,370,361,125,37,1,1,53,,7,137
Gujarat,Area,19602,18868,1854,3752,850,4,1977,11,568,9852
Haryana,Area,4421,4372,39,524,27,12,65,8,141,3556
Himachal Pradesh,Area,5567,4545,1101,1130,1501,69,127,14,60,543
Jammu & Kashmir,Area,22224,3781,2023,582,128,72,146,16,74,742
Jharkhand,Area,7972,7970,2333,1365,88,113,274,783,1244,1769
Karnataka,Area,19179,19050,3072,2151,934,292,416,515,1565,10105
Kerala,Area,3886,3886,1082,475,0,9,90,47,82,2101
Madhya Pradesh,Area,30825,30756,8699,3398,1348,19,1177,612,769,14735
Mahrashtra,Area,30771,30758,5214,3131,1252,249,914,1199,1325,17475
Manipur,Area,2233,1951,1693,27,1,6,1,0,0,224
Meghalaya,Area,2243,2227,942,228,0,158,450,169,68,213
Mizoram,Area,2108,1946,1594,134,5,10,5,82,24,92
Nagaland,Area,1658,1595,863,75,0,120,57,76,82,322
Orissa,Area,15571,15571,5813,1842,443,482,392,434,426,5739
Punjab,Area,5036,5033,308,450,4,4,9,0,13,4243
Rajasthan,Area,34224,34265,2698,4262,1706,20,4611,2265,1939,16764
Sikkim,Area,710,728,319,250,4,5,2,30,5,112
Tamil Nadu,Area,13006,13027,2106,2662,110,268,354,1493,907,5126
Tripura,Area,1049,1049,606,134,0,27,1,1,1,280
Uttar Pradesh,Area,24093,24201,1654,3215,65,376,439,550,1270,16633
Uttarakhand,Area,5348,5666,3465,467,230,249,384,62,42,768
West Bengal,Area,8875,8684,1174,1754,5,58,34,22,341,5296
Andaman & Nicobar Islands,Area,825,795,717,25,6,18,12,3,1,13
Chandigarh,Area,11,7,0,5,0,0,0,0,0,0
Dadra & Nagar Haveli,Area,49,49,20,4,1,0,0,1,1,22
Daman & Diu,Area,11,3,,0,,0,0,,,3
Lakshadweep,Area,3,3,0,0,,,,,,3
Pondicherry,Area,48,49,0,18,0,1,4,3,2,20
Telangana,Area,27000,27134,6221,4381,631,326,630,1550,3173,10300
Ladakh,Area,832,738,765,27,4,15,11,22,321,5286
